№,Пример,Левый контекст,Вершина,,Зависимое,Правый контекст,Зависимые вершины,Зависимые генитива,Отношение,Грамм. признаки вершины,Вершина: сем. группа,,Грам. признаки зависимого,Зависимое: сем. группа
721,"В России меняются правила регистрации автомототранспортных средств: скоро российские автомобилисты смогут ставить на учет свои машины в любых регионах и без необходимости снимать их с учета, сообщил в среду заместитель начальника управления департамента обеспечения безопасности дорожного движения МВД России Александр Борисов.",,регистрации,автомобильных,средств,,,,OB,Ncnsgn,,,Ncnpgn,
722," Успешность указанных программ как в США, так и в ЕС предопределяется не только легальным стимулом для участника картеля получить освобождение от ответственности или смягчить свою ответственность, но и налаженным механизмом применения указанных программ, их открытостью и определенной ясностью изложения.",,успешность,указанных,программ,,,,PAR,Ncfsnn,,,Ncfpgn,
723," Успешность указанных программ как в США, так и в ЕС предопределяется не только легальным стимулом для участника картеля получить освобождение от ответственности или смягчить свою ответственность, но и налаженным механизмом применения указанных программ, их открытостью и определенной ясностью изложения.",,открытостью,,программ,,,,PAR,Ncfsin,,,Ncfpgn,
724," Успешность указанных программ как в США, так и в ЕС предопределяется не только легальным стимулом для участника картеля получить освобождение от ответственности или смягчить свою ответственность, но и налаженным механизмом применения указанных программ, их открытостью и определенной ясностью изложения.",,ясностью,,изложения,,,,PAR,Ncfsin,,,Ncnsgn,
725,"Как следует из раздела "" Информация для клиентов "" на сайте "" Универсаль-Инвеста "", его сотрудничество с Русич Центр банком сводится к тому, что после распоряжения клиента о выводе денежных средств брокер переводит их на счет в Русич Центр банк.",,распоряжения,,клиента,,,,SAG,Ncnsgn,,,Ncmsgy,
726,"Ученые, чьи имена окутаны тайной, обнаружили, что именно так и поступают дельфины: при спаривании самца и самки обязательно присутствует второй самец.",,спаривании,,самца,,,,SAG,Ncnsln,,,Ncmsgy,
727,"Известный российский специалист, бывший главный тренер махачкалинского ""Анжи"" Гаджи Гаджиев в интервью агентству "" Р-Спорт "" высказал свое мнение относительно назначения Юрия Красножана на пост наставника махачкалинцев.",,пост,,наставника,,,,ATR,Ncmsan,,,Ncmsgy,
728,"Известный российский специалист, бывший главный тренер махачкалинского ""Анжи"" Гаджи Гаджиев в интервью агентству "" Р-Спорт "" высказал свое мнение относительно назначения Юрия Красножана на пост наставника махачкалинцев.",,наставника,,махачкалинцев,,,,OB',Ncmsgy,,,Ncmpgy,
729,"Актер в сценах живого плана демонстрирует пластичность и обаяние современного молодого человека, но когда начинает управлять куклой, в образе своего героя становится самоуверенным, сообразительным Котом, дирижирующим судьбами остальных персонажей.",,пластичность,и обаяние современного молодого,человека,,,,PAR,Ncnsan,,,Ncmsgy,
730,"При этом, несмотря на то, что не раз обсуждалась возможность обустройства мусорных площадок с контейнерами, руководство поселка категорически от этого отказывалось:",,обустройства,мусорных,площадок,,,,OB,Ncnsgn,,,Ncfpgn,
731,""" Репутация надежного и финансово стабильного партнера позволит России заручиться поддержкой всемирного бюро выставок "", — заявил министр "" Многие детали заявок будут раскрыты достаточно подробно в заявочных книгах, подготовка которых вскоре начнется.",,бюро,,выставок,,,,ATR,Ncnsgn,,,Ncfgpn,
732,"Но тогда, согласно поправкам господина Комиссарова, "" хозяин магазина обязан создать в магазине редакцию, а на складе запчастей у него должны работать журналисты "".",,складе,,запчастей,,,,ATR,Ncmsln,,,Ncfpgn,
733,"На вопрос о том, какая проблема в комплексе проблем по предоставлению жилья ветеранам самая сложная, заместитель директора Фонда содействия индивидуальному жилищному строительству Оксана Вохминцева однозначно ответила: "" Мало сейчас жилья строится """,,предоставлению,,жилья,,,,OB,Ncnsdn,,,Ncnsgn,
734,"О планах внедрить озоново-кислородную отбелку целлюлозы на БЦБК заявил внешний управляющий предприятия Александр Иванов 12 июля на встрече с директором Центра всемирного наследия ЮНЕСКО Кишор Рао, экспертом Международного союза охраны природы Педро Росабалем и заместителем руководителя Росприроднадзора Амирханом Амирхановым.",,отбелку,,целлюлозы,,,,OB,Ncfsan,,,Ncfsgn,
735,"О планах внедрить озоново-кислородную отбелку целлюлозы на БЦБК заявил внешний управляющий предприятия Александр Иванов 12 июля на встрече с директором Центра всемирного наследия ЮНЕСКО Кишор Рао, экспертом Международного союза охраны природы Педро Росабалем и заместителем руководителя Росприроднадзора Амирханом Амирхановым.",,охраны,,природы,,,,OB,Ncfsgn,,,Ncfsgn,
736,"О планах внедрить озоново-кислородную отбелку целлюлозы на БЦБК заявил внешний управляющий предприятия Александр Иванов 12 июля на встрече с директором Центра всемирного наследия ЮНЕСКО Кишор Рао, экспертом Международного союза охраны природы Педро Росабалем и заместителем руководителя Росприроднадзора Амирханом Амирхановым.",,союза,,охраны,,,,ATR,Ncmsgn,,,Ncfsgn,
737,"Корейский автопроизводитель Kia, заинтересованный в организации российской сборки своих автомобилей, рассматривает в качестве своего партнера ТагАЗ.",,сборки,своих,автомобилей,,,,OB,Ncfsgn,,,Ncmpgn,
738,"Заместитель председателя правительства региона Николай Хиценко добавил, что в прошлом году в Иркутске работала "" Школа активных граждан "", которая пользовалась большим спросом.",,школа,активных,граждан,,,,ATR,Ncfsnn,,,Ncmpgy,
739,"А вообще певец считает, что лучший ""рецепт"" по выращиванию хорошего человека — не воспитывать ребенка, а дружить с ним.",,выращиванию,хорошего,человека,,,,OB,Ncnsdn,,,Ncmsgy,
740," Проблема нехватки мест в детских садах чужда тем, у кого дети старше семи лет ; проблема низкого качества преподавания в школах не интересует того, кто сумел пристроить ребенка в учебное заведение в столицах или в Европе... ",,качества,,преподавания,,,,PAR,Ncnsgn,,,Ncnsgn,
741,"Мама Алексея, и его друзья тоже заметили странности в поведении собаки, все говорило о том, что Берта, как и ее хозяин, уже не видит мир.",,поведении,,собаки,,,,SAG,Ncnsln,,,Ncfsgy,
742,"Если А. Пузанов говорил о научных достоинствах комплексного инвестиционного плана города, то о воплощении этой программы в жизнь рассказал заместитель главы администрации Нижнего Тагила по стратегическому развитию и инвестициям Юрий Кузнецов.",,достоинствах,комплексного инвестиционного,плана,,,,PAR,Ncnpgn,,,Ncmsgn,
743,"Пока Ольга Львовна предполагает, художник Олег Кулик уже видит в кресле министра... Владислава Суркова!",,кресле,,министра,,,,POS,Ncnsln,,,Ncmsgy,
744,"Конечно, при условии, что в этом банке есть сообщник мошенника.",,сообщник,,мошенника,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
745,После удаления Гогниева с поля к нему подошел неизвестный мужчина в форме сотрудника правоохранительных органов и ударил футболиста по лицу.,,форме,,сотрудника,,,,ATR,Ncfsln,,,Ncmsgy,
746,Г-н Щуров выразил огромную благодарность волонтерам — со многими из них он вместе занимался поиском пропавшего в Брянске ребенка.,,поиском,,ребенка,,,,OB,Ncmsin,,,Ncmsgy,
747,"Первый заместитель главы администрации Иркутской области Юрий Параничев вошел в новый состав совета директоров ОАО ""Иркутскэнерго"", такое решение было принято 23 июня на годовом собрании энергокомпании.",,собрании,,энергокомпании,,,,SAG,Ncnsln,,,Ncfsgn,
748,"Три статуэтки ушли в академический театр драмы, представлявший на "" Браво! "" ""Хануму"": народная артистка России Галина Умпелева и заслуженный артист России Андрей Кылосов отмечены за лучшие роли второго плана, а непревзойденный хор мальчиков кинто стал лучшим мужским музыкально-пластическим ансамблем.",,театр,,драмы,,,,ATR,Ncmsan,,,Ncfsgn,
749,"В дискуссию об отмене лимита на легионеров (а вопрос этот, по словам президента РФС Сергея Фурсенко, поднял на исполкоме президент ЦСКА) втягиваются все больше руководителей.",,отмене,,лимита,,,,OB,Ncmsln,,,Ncmsgn,
750,"По словам спикера Госдумы Бориса ГРЫЗЛОВА, индексация 1 апреля коснется около 4 млн человек.",,спикера,,Госдумы,,,,MB,Ncmsgy,,,Ncfsgn,
751,"Председатель правительства Свердловской области Анатолий Гредин отметил, что обеспечение жильем ветеранов Великой Отечественной войны является одним из приоритетов в работе губернатора Александра Мишарина и областного правительства, поэтому вся работа по улучшению жилищных условий ветеранов должна быть завершена до конца текущего года.",,обеспечение,жильем,ветеранов,,,,OB,Ncnsnn,,,Ncmpgy,
752,"Председатель правительства Свердловской области Анатолий Гредин отметил, что обеспечение жильем ветеранов Великой Отечественной войны является одним из приоритетов в работе губернатора Александра Мишарина и областного правительства, поэтому вся работа по улучшению жилищных условий ветеранов должна быть завершена до конца текущего года.",,улучшению,жилищных,условий,,,,OB,Ncnsdn,,,Ncnpgn,
753,"Комментируя инициативу ФСФР, замгенерального директора "" Эксперт РА "" Павел Самиев отмечает, что контроль при передаче страховых портфелей необходим, поскольку эта мера позволит видеть процесс передачи резервов страховой компании вместе с ее обязательствами и предотвратить вывод активов до введения процедуры банкротства.",,передачи,страховых,портфелей,,,,OB,Ncfsgn,,,Ncmpgn,
754,"В конце 2007 года лидировали по количеству сообщений в прессе и на федеральном ТВ четыре претендента: в то время первый заместитель председателя правительства РФ Дмитрий Медведев, лидер КПРФ Геннадий Зюганов, лидер незарегистрированной партии "" Народ за демократию и справедливость "" Михаил Касьянов и лидер ЛДПР Владимир Жириновский.",,председатель,,правительства,,,,MB,Ncmsny,,,Ncnsgn,
755,"В конце 2007 года лидировали по количеству сообщений в прессе и на федеральном ТВ четыре претендента: в то время первый заместитель председателя правительства РФ Дмитрий Медведев, лидер КПРФ Геннадий Зюганов, лидер незарегистрированной партии "" Народ за демократию и справедливость "" Михаил Касьянов и лидер ЛДПР Владимир Жириновский.",,лидер,,КПРФ,,,,MB,Ncmsny,,,Ncfsgn,
756,"На торжественном приеме руководитель департамента информационной политики губернатора Свердловской области Юлия Прыткова награждена памятной медалью МЧС России "" Участнику ликвидации пожаров 2010 года "".",,ликвидации,,пожаров,,,,OB,Ncfsgn,,,Ncmpgn,
757,"Это Рашид Газалиев, кличка ""Муаз"", активный член бандгруппы с 2009 г. Входил в ближайшее окружение главаря.",,член,,бандгруппы,,,,MB,Ncmsny,,,Ncfsgn,
758,"Автодорожный комплекс, определяющий доступность территорий, скорость доставки пассажиров и грузов, считается одной из важнейших отраслей, способных повысить конкурентоспособность экономики Российской Федерации, — отметил в своем выступлении заместитель председателя правительства — министр промышленности и науки Свердловской области Александр Петров.",,доступность,,территорий,,,,PAR,Ncnsan,,,Ncfpgn,
759,"Автодорожный комплекс, определяющий доступность территорий, скорость доставки пассажиров и грузов, считается одной из важнейших отраслей, способных повысить конкурентоспособность экономики Российской Федерации, — отметил в своем выступлении заместитель председателя правительства — министр промышленности и науки Свердловской области Александр Петров.",,скорость,,доставки,,,,PAR,Ncnsan,,,Ncfsgn,
760,"Автодорожный комплекс, определяющий доступность территорий, скорость доставки пассажиров и грузов, считается одной из важнейших отраслей, способных повысить конкурентоспособность экономики Российской Федерации, — отметил в своем выступлении заместитель председателя правительства — министр промышленности и науки Свердловской области Александр Петров.",,доставки,,пассажиров,,,,OB,Ncfsgn,,,Ncmpgy,
761,"Автодорожный комплекс, определяющий доступность территорий, скорость доставки пассажиров и грузов, считается одной из важнейших отраслей, способных повысить конкурентоспособность экономики Российской Федерации, — отметил в своем выступлении заместитель председателя правительства — министр промышленности и науки Свердловской области Александр Петров.",,конкурентноспособность,,экономики,,,,PAR,Ncfsan,,,Ncfsgn,
762,"Заместитель директора Департамента образования и науки администрации Приморского края Екатерина Черновицкая заметила: Увы, возможно, тот же ""кремень"" в душе и не позволил тогда еще молодой "" разведенке "" наладить отношения с новым мужчиной.",,департамента,,образования,,,,ATR,Ncmsgn,,,Ncnsgn,
763,"Как считает Малхаз Алсания, директор по франчайзингу ""Сбарро"", административный ресурс, который, очевидно, уже есть у "" Росинтера "" сыграл не последнюю роль в выборе партнера.",,выборе,,партнера,,,,OB,Ncmsln,,,Ncmsgy,
764,"В декабре прошлого года в Уголовный кодекс РФ внесены поправки, ужесточившие наказание за невыплату зарплаты, а также пенсий, стипендий, пособий и иных выплат, – пояснил на правовом часе помощник прокурора республики Альберт Петров.",,невыплату,,зарплаты,,,,OB,Ncfsan,,,Ncfsgn,
765,"О необходимости упростить процедуру получения лицензий на разработку месторождений газа, улучшении административного регулирования говорил исполнительный советник президента государственной газовой корпорации ""Когаз"", председатель ООО "" Когаз Восток "" Ким Гван Хег.",,разработку,,месторождений,,,,OB,Ncfsan,,,Ncnpgn,
766,"О необходимости упростить процедуру получения лицензий на разработку месторождений газа, улучшении административного регулирования говорил исполнительный советник президента государственной газовой корпорации ""Когаз"", председатель ООО "" Когаз Восток "" Ким Гван Хег.",,получения,,лицензий,,,,OB,Ncnsgn,,,Ncfpgn,
767,"2 ноября официальный представитель Следственного комитета РФ Владимир Маркин сообщил журналистам, что обжаловал в Министерстве образования и науки приказ Рособрнадзора, отозвавшего его диплом юриста.",,диплом,,юриста,,,,ATR,Ncmsan,,,Ncmsgy,
768,"Робот Джозеф играет со всеми желающими в английские шашки, робот-стул по скорости поднятия тела может безошибочно определить вес человека, сидящего на нем.",,вес,,человека,,,,PAR,Ncmsan,,,Ncmsgy,
769,"В конце 2008 года, когда мировой кризис охватил не только финансовый рынок, но и промышленность, премьер выбрал Игоря Шувалова на роль главного антикризисного менеджера, поручив ему возглавить комиссию по повышению устойчивости развития экономики — слово ""кризис"" до определенного момента в Белом доме старались не употреблять.",,устойчивости,,развития,,,,PAR,Ncfsgn,,,Ncnsgn,
770,"Офицеры: командующий подводными силами Северного флота контр-адмирал Андрей Воложинский, командир атомного ракетного подводного крейсера ""Верхотурье"" капитан 1 ранга Сергей Домнин, старший помощник командира капитан 2 ранга Николай Цибулько приехали на Урал по приглашению губернатора Свердловской области Александра Мишарина.",,командир,атомного ракетного подводного ,крейсера,,,,OB',Ncmsny,,,Ncmsgn,
771,"Здесь на выборах губернатора одерживал локальную победу коммунист Сергей Левченко, здесь проходили многотысячные митинги против нефтепровода "" Восточная Сибирь – Тихий океан "", здесь – а не по месту прописки проблемы – сосредоточились акции протеста против Международного центра по обогащению урана и Байкальского ЦБК, здесь на выборах депутатов Законодательного Собрания в некоторых округах набирал вполне приличные проценты список партии ""Зеленые"".",,акции,,протеста,,,,ATR,Ncfpnn,,,Ncmsgn,
772," То есть в сухом остатке все же получается, что неандерталец скорее брат, чем предок человека разумного?",,предок,,человека,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
773,"Директор управления по работе с долговыми инструментами ""Атона"" Павел Душин говорит, что подобные бумаги выпускают в случае, когда текущий рынок акций чем-то не устраивает акционера: "" Встроенный в долговой инструмент опцион на получение акций существенно уменьшает стоимость долга и может дать возможность заложить премию к стоимости акций "".",,стоимость,,долга,,,,PAR,Ncfsan,,,Ncmsgn,
774,"Как выяснилось, у парня на руках был паспорт, полученный им еще в 14-летнем возрасте, а с наступлением 20-летия молодой человек просто проигнорировал замену данного удостоверения личности, решив, что еще успеется.",,замену,данного,удостоверения,,,,OB,Ncfsan,,,Ncnsgn,
775,"Как выяснилось, у парня на руках был паспорт, полученный им еще в 14-летнем возрасте, а с наступлением 20-летия молодой человек просто проигнорировал замену данного удостоверения личности, решив, что еще успеется.",,удостоверения,,личности,,,,OB',Ncnsgn,,,Ncfsgn,
776,"Границы земельного участка остались те же, – заметил заместитель начальника отдела обеспечения градостроительной деятельности мэрии Александр Базанков.",,границы,земельного,участка,,,,WH,Ncfpnn,,,Ncmsgn,
777,"Богач м-р Отис скупить может все – все лоты на аукционе, их-то перечень зачитывает Председатель (великолепный А. Данилов): фрагмент Тернового венца, интимные шмотки царицы Клеопатры, сервант... нет, Сервантеса рукопись, "" маленькие голландцы "" крупного формата, руки Венеры Милосской... ",,фрагмент,Тернового,венца,,,,WH,Ncmsan,,,Ncmsgn,
778,"Богач м-р Отис скупить может все – все лоты на аукционе, их-то перечень зачитывает Председатель (великолепный А. Данилов): фрагмент Тернового венца, интимные шмотки царицы Клеопатры, сервант... нет, Сервантеса рукопись, "" маленькие голландцы "" крупного формата, руки Венеры Милосской... ",,шмотки,,царицы,,,,POS,Ncfpan,,,Ncfsgy,
779,"Кто будет платить за достройку "" Иннокентьевской слободы "", станет известно к 21 мая, сообщил ""Конкуренту"" заместитель председателя правительства Иркутской области Николай Хиценко.",,достройку,Игнатьевской,слободы,,,,OB,Ncfan,,,Ncfsgn,
780,"Продолжает работать в палате представителей и конгрессмен-республиканец Спенсер Бакус, который в 2008 году на следующее утро после закрытого брифинга главы ФРС Бена Бернанке о надвигающемся финансовом кризисе продал свои активы.",,палате,,представителей,,,,ATR,Ncfsln,,,Ncmpgy,
781,"Вчера на пресс-конференции в информационном агентстве "" Интерфакс-Урал "" заместитель министра сельского хозяйства и продовольствия Свердловской области Владимир Гребнев рассказал о мерах, которые принимает руководство области для стабилизации цен на продукты питания, в первую очередь на хлеб и муку.",,стабилизации,,цен,,,,OB,Ncfsdn,,,Ncfpgn,
782,"Вчера на пресс-конференции в информационном агентстве "" Интерфакс-Урал "" заместитель министра сельского хозяйства и продовольствия Свердловской области Владимир Гребнев рассказал о мерах, которые принимает руководство области для стабилизации цен на продукты питания, в первую очередь на хлеб и муку.",,продукты,,питания,,,,ATR,Ncmpan,,,Ncfsgn,
783,"С появлением малыша женщины просто с ума сходят, взваливают на себя весь уход за младенцем, боятся доверить его кому-либо, даже родному папе: "" Я — мать, у меня инстинкт, я лучше знаю... "" ",,появлением,,малыша,,,,SPA,Ncnsin,,,Ncmpgn,
784,"Также в совете директоров присутствуют бывший вице-губернатор Приморского края Сергей ПЕРЕДРИЙ, генеральный директор ЗАО ""Дальинвестгрупп"", помощник гендиректора ОАО "" БАМР "" по корпоративным вопросам Савелий ПОНОМАРЕНКО, визит-профессор Академии народного хозяйства при правительстве РФ, генеральный директор ОАО "" Биофарм "" (производство фармацевтических препаратов) Владимир БАЛАШОВ и декан факультета Управления и прикладной математики Московского физико-технического института Валерий ИРИКОВ.",,производство,фармацевтических,препаратов,,,,OB,Ncnsnn,,,Ncmsng,
785,"Также в совете директоров присутствуют бывший вице-губернатор Приморского края Сергей ПЕРЕДРИЙ, генеральный директор ЗАО ""Дальинвестгрупп"", помощник гендиректора ОАО "" БАМР "" по корпоративным вопросам Савелий ПОНОМАРЕНКО, визит-профессор Академии народного хозяйства при правительстве РФ, генеральный директор ОАО "" Биофарм "" (производство фармацевтических препаратов) Владимир БАЛАШОВ и декан факультета Управления и прикладной математики Московского физико-технического института Валерий ИРИКОВ.",,декан,,факультета,,,,MB,Ncmsny,,,Ncmsgn,
786,"Также в совете директоров присутствуют бывший вице-губернатор Приморского края Сергей ПЕРЕДРИЙ, генеральный директор ЗАО ""Дальинвестгрупп"", помощник гендиректора ОАО "" БАМР "" по корпоративным вопросам Савелий ПОНОМАРЕНКО, визит-профессор Академии народного хозяйства при правительстве РФ, генеральный директор ОАО "" Биофарм "" (производство фармацевтических препаратов) Владимир БАЛАШОВ и декан факультета Управления и прикладной математики Московского физико-технического института Валерий ИРИКОВ.",,факультета,,Управления,,,,ATR,Ncmsgn,,,Ncnsgn,
787,"Первый заместитель председателя Правительства России Игорь ШУВАЛОВ был поражен и восхищен выступлением находкинских тхэквондистов, с которыми он встретился на прошлой неделе, 23 ноября",,выступлением,находкинских,тхэквондистов,,,,SAG,Ncnsin,,,Ncmsgy,
788,"— После смерти художника всю папку выкупил коллекционер, который сейчас решился представить их публике.",,смерти,,художника,,,,SPA,Ncfsgn,,,Ncmsgy,
789,"А как отметила адвокат Людмила Айвар, нынешний доход осужденного Евсюкова "" является незначительным "" и для адекватного возмещения вреда явно не подходит.",,возмещения,,вреда,,,,OB,Ncnsan,,,Ncmsgn,
790,В феврале этого года юноша на соответствующем сайте знакомств выставил фотографию смазливого мальчика,,фотографию,смазливого,мальчика,,,,OB',Ncfsan,,,Ncmsgy,
791,"Заместитель главы Тернейского муниципального округа Алла АРИФУЛИНА считает, что необходимо прекратить массовые вырубки кедра особенно в поймах рек, так как это приводит к разрушению экосистем.",,вырубки,,кедра,,,,OB,Ncfpan,,,Ncmsgn,
792,"Заместитель главы Тернейского муниципального округа Алла АРИФУЛИНА считает, что необходимо прекратить массовые вырубки кедра особенно в поймах рек, так как это приводит к разрушению экосистем.",,разрушению,,экосистем,,,,OB,Ncnsdn,,,Ncfpgn,
793,"В Англии можно, если появляется фотография человека на телевидении и задается вопрос: "" А не идиот ли этот человек? "" Ты совершенно спокойно можешь прийти в суд и раздеть эту телевизионную программу.",,фотографии,,человека,,,,OB',Ncfpnn,,,Ncmsgy,
794,Куколку-колокольчик с тремя пышными цветными юбочками делали на Рождество и на рождение ребенка.,,рождение,,ребенка,,,,SPA,Ncnsan,,,Ncmsgy,
795,"Адвокат долго перечислял ошибки следствия — "" высказывание судьи Данилкина, премьера Путина о виновности подсудимого до оглашения приговора "", игнорирование нормы УК, запрещающей заключение под стражу за экономические преступления.",,оглашения,,приговора,,,,OB,Ncnsgn,,,Ncmsgn,
796,"Адвокат долго перечислял ошибки следствия — "" высказывание судьи Данилкина, премьера Путина о виновности подсудимого до оглашения приговора "", игнорирование нормы УК, запрещающей заключение под стражу за экономические преступления.",,игнорирование,,нормы,,,,OB,Ncnsnn,,,Ncfsgn,
797,Происхождение фамилии Тверянкин топонимическое – отец нашего героя родом из Тверской области.,,отец,,героя,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
798,"Судья признал актера виновным в нарушении по ч.2 ст.20. 1 КоАП (мелкое хулиганство, сопряженное с неповиновением законному требованию представителя власти) и оштрафовал на 500 рублей.",,представителя,,власти,,,,MB,Ncmsgy,,,Ncfsgn,
799,"Неслучайно среди награжденных Почетными грамотами губернатора Свердловской области была Ираида Баженова, оператор машинного доения агрофирмы ""Патруши"" (Сысертский городской округ).",,оператор,машинного,доения,,,,ATR,Ncmsny,,,Ncnsgn,
800,"Неслучайно среди награжденных Почетными грамотами губернатора Свердловской области была Ираида Баженова, оператор машинного доения агрофирмы ""Патруши"" (Сысертский городской округ).",,оператор,,агрофирмы,,,,MB,Ncmsny,,,Ncfsgn,
801,"Эксперты достаточно высоко оценили работу мэра на должности, а также учли, что глава Владивостока является одной из самых популярных фигур в приморских СМИ.",,работу,,мэра,,,,SAG,Ncfsan,,,Ncmsgy,
802,"Кроме выдачи новенькой формы предусмотрены и другие поощрения для тех, кому предстоит держать равнение в парадном строю, — 167 военнослужащих будут представлены к награждению ведомственной медалью министра обороны "" За участие в параде "", остальных поощрят командующий войсками ПУрВО, командиры соединений и начальники военных вузов.",,выдачи,новенькой,формы,,,,OB,Ncfsgn,,,Ncfsgn,
803,"Начал собирать лет 15 назад, тогда многие детали можно было найти на свалке, в куче металлолома, – рассказывает учитель физкультуры, открывший в себе талант не только изобретателя, но и токаря, слесаря, электросварщика.",,талант,,изобретателя,,,,ATR,Ncmsan,,,Ncmsgy,
804,"По выбору гражданина жилые помещения на территории Приморского края могут предоставляться в собственность бесплатно, по договору социального найма, а также предусмотрена единовременная денежная выплата (гражданин получает свидетельство) для приобретения или строительства жилья.",,договору,социального,найма,,,,ATR,Ncmsdn,,,Ncmsgn,
805,"По выбору гражданина жилые помещения на территории Приморского края могут предоставляться в собственность бесплатно, по договору социального найма, а также предусмотрена единовременная денежная выплата (гражданин получает свидетельство) для приобретения или строительства жилья.",,приобретения,или строительства,жилья,,,,OB,Ncnsgn,,,Ncnsgn,
806,"Любопытно, что перелет Уфа-Каир-Уфа прошел под знаком льва — вел самолет командир летного отряда Рашид Аббасов, в столице Башкирии организовывал полет замглавы администрации президента РБ Аббас Галлямов, а встречал борт вице-консул посольства РФ в Каире Тимур Аббасгаевич Агаметов.",,знаком,,льва,,,,ATR,Ncmsin,,,Ncmsgn,
807,"Социальный работник окажет помощь в оформлении документов, а юрист защитит ВИЧ-инфицированного человека в случае нарушения его прав.",,оформлении,,документов,,,,OB,Ncnsln,,,Ncmpgn,
808,"Всякий раз, когда владелец iPhone (iPod touch, iPad) будет находиться поблизости от дома человека из списка контактов, на экране устройства появится табличка с его именем и виртуальная кнопка звонка.",,списка,,контактов,,,,ATR,Ncmsgn,,,Ncmpgn,
