№,Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Производящее вершины,Производящее зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Гиперонимы вершины WV,Гиперонимы зависимого WV,Ярлык
255,гендиректор,агенства,гендиректор,агенство,Ncmsny,Ncnsgn,N,N,MB,"['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'должность', 'административная должность', 'лидер', 'личность', 'человеческий', 'персона', 'индивидуум', 'люди', 'человечий', 'глава организации', 'гендиректор', 'людской', 'человеческая личность', 'директор организации', 'лицо', 'особа']","['агенство', 'организация, учреждение', 'субъект деятельности', 'постоянная сущность']",руководитель,руководитель,,
256,агенства,недвижимости,агенство,недвижимость,Ncnsgn,Ncfsgn,N,N,ATR,"['агенство', 'организация, учреждение', 'субъект деятельности', 'постоянная сущность']","['имущество, собственность', 'роль, положение, место', 'недвижимость']",руководитель,учреждение,,
257,возведением,стен,возведение,стена,Ncnsin,Ncfpgn,Vt,N,OB,"['воздействовать', 'создать', 'обуславливать, способствовать', 'обуславливать', 'целенаправленное действие', 'происходящая сущность', 'возведение', 'участие, участвовать', 'отношения между людьми', 'влиять', 'способствовать', 'влиять, воздействовать']","['продукт труда', 'строительные конструкции', 'стена', 'постоянная сущность']",создание,предмет,,
258,историю,семьи,история,семья,Ncfsan,Ncfsgn,N,N,ATR,['история'],"['группа', 'группа лиц', 'вещество', 'состав', 'группа людей', 'субъект деятельности', 'совокупность людей', 'семья', 'целое', 'постоянная сущность', 'суть,существо,сущность,содержание', 'групповой', 'совокупность']",событие,родственник,,
259,срезе,войны,срез,война,Ncmsln,Ncfsgn,N,N,WH,"['срез', 'физически существующая сущность', 'составная часть', 'постоянная сущность', 'физическая сущность', 'место в пространстве', 'часть']","['операция', 'делаться', 'процесс', 'создать', 'смена состояний', 'совершить действие', 'сделать', 'акт', 'совершение действия', 'целенаправленное действие', 'происходящая сущность', 'правовой документ', 'поступок человека', 'делать', 'совершать действие', 'действовать', 'война', 'мера, мероприятие', 'действие', 'влиять, воздействовать']",часть,событие,,
260,родителей,парня,родитель,парень,Ncmpay,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'индивидуум', 'люди', 'человечий', 'сродственник', 'член семьи', 'людской', 'человеческая личность', 'лицо', 'родитель', 'особа', 'близкий родственник']",['парень'],родственник,человек,,
261,комитет,нацбезопасности,комитет,нацбезопасность,Ncmsan,Ncfsgn,N,N,ATR,"['организация', 'заведение', 'организация, учреждение', 'экономический агент', 'комитет', 'предприятие', 'контора', 'субъект деятельности', 'орган (организация, учреждение)', 'группа людей', 'постоянная сущность', 'учреждение', 'руководящий орган', 'занятие, деятельность', 'руководство, начальство', 'институция', 'учрежденческий']",['нацбезопасность'],организация,глава,,
262,отказ,москвы,отказ,москва,Ncmsnn,Ncfsgn,Vn,N,SAG,['отказ'],"['административно-территориальная единица государства', 'москва', 'городское поселение', 'административно-территориальное образование', 'территориальное образование', 'административно-территориальная единица', 'публично-правовое образование', 'город', 'объект административно-территориального деления', 'муниципальное образование', 'территориальная единица']",документ,родственник,,
263,отставку,максюты,отставка,максюта,Ncfsan,Npmsgy,Vt,N,OB,['отставка'],['максюта'],должность,родственник,,
264,поста,члена,пост,член,Ncmsgn,Ncmsgy,N,N,ATR,"['пост', 'роль, положение, место']","['член', 'составная часть', 'субъект деятельности', 'постоянная сущность', 'часть']",должность,руководитель,,
265,члена,совета,член,совет,Ncmsgy,Ncmsgn,N,N,MB,"['член', 'составная часть', 'субъект деятельности', 'постоянная сущность', 'часть']","['абстрактная сущность', 'высказать мнение', 'мнение', 'совет', 'суждение']",руководитель,организация,,
266,партии,зюганова,партия,зюганов,Ncfsln,Npmsgy,N,N,MB,['партия'],['зюганов'],группа,руководитель,,
267,список,кпрф,список,кпрф,Ncmsan,Ncfsgn,N,N,ATR,"['список', 'постоянная сущность', 'запись (то, что записано)', 'письменный перечень, список']",['кпрф'],документ,группа,,
268,пол,ребенка,половина,ребенок,Ncmsan,Ncmsgy,N,N,PAR,['половина'],"['микрокосм', 'группа людей', 'индивид', 'человек', 'групповой', 'родной', 'личностный', 'родственник', 'группа лиц', 'личность', 'человеческий', 'ребенок', 'персона', 'родня', 'живой организм', 'индивидуум', 'группа', 'люди', 'социальные институты', 'плохой человек', 'потомство', 'человечий', 'субъект деятельности', 'сродственник', 'правонарушитель', 'человек по возрасту', 'биологическая сущность', 'социально-демографическая общность', 'людской', 'социальная общность', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'близкий родственник', 'звание', 'воинское звание']",часть,родственник,,
269,возрастом,женщины,возраст,женщина,Ncmsin,Ncfsgy,N,N,PAR,"['свойство,характеристика', 'абстрактная сущность', 'оценка (мнение)', 'качество', 'свойство', 'физическое свойство', 'возраст', 'признак', 'количественный параметр', 'постоянная сущность', 'характеристика', 'хороший (вполне положительный по качествам)', 'свойство, характеристика', 'размер']","['физически существующая сущность', 'микрокосм', 'индивид', 'человек', 'личностный', 'женщина', 'личность', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'физическая сущность', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']",человек,человек,,
270,место,происшествия,место,происшествие,Ncnsan,Ncnsgn,Vt,N,ATR,"['постоянная сущность', 'физическая сущность', 'место']","['событие, факт', 'происходящая сущность', 'происшествие']",должность,событие,,
271,заместитель,прокурора,заместитель,прокурор,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['заместитель', 'сотрудник', 'служащий (работник)', 'служащая', 'рабочие руки', 'труженик', 'специалист', 'должность', 'должностное лицо', 'административная должность', 'труженица)', 'трудящийся', 'заместитель должностного лица', 'труженица', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'роль, положение, место', 'работница', 'трудящийся человек', 'сотрудница']","['микрокосм', 'сотрудник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'труженица)', 'личность', 'человеческий', 'персона', 'прокурор', 'юрист', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']",должность,должность,,
272,прокурора,рф,прокурор,рф,Ncmsgy,Ncfsgn,A,N,MB,"['микрокосм', 'сотрудник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'труженица)', 'личность', 'человеческий', 'персона', 'прокурор', 'юрист', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']","['предметный', 'рф', 'общегосударственный', 'державный', 'этническая общность', 'национальный', 'федеративное государство', 'страна мира', 'публично-правовое образование', 'государство', 'государственный', 'держава', 'вещичка', 'вещественный', 'союз (объединение)', 'субъект права', 'государство мира', 'общенациональный', 'субъект деятельности', 'страновой', 'вещь', 'вещевой', 'страна', 'многонациональное государство', 'постоянная сущность', 'вещица', 'предмет', 'объединение (то, что объединено)']",должность,глава,,
273,зависимость,художника,зависимость,художник,Ncfsnn,Ncmsgy,Vn,Vn,ATR,['зависимость'],"['создатель', 'микрокосм', 'известный человек', 'индивид', 'художник (автор изобразительного произведения)', 'человек', 'личностный', 'личность', 'человеческий', 'персона', 'художник', 'автор', 'авторитетный человек', 'индивидуум', 'люди', 'человечий', 'субъект деятельности', 'творческий работник', 'людской', 'деятель искусства', 'человеческая личность', 'деятель', 'лицо', 'особа']",изменение,деятель,,
274,развития,капитализма,развитие,капитализм,Ncnsgn,Ncmsgn,Vn,Vn,SPA,"['измениться, изменение', 'развитие', 'процесс, смена состояний', 'происходящая сущность']",['капитализм'],создание,деятель,,
275,роста,класса,рост,класс,Ncmsgn,Ncmsgn,N,N,SPA,"['рост', 'свойство,характеристика', 'параметр', 'отличительное свойство', 'высота (линейный размер)', 'протяженность', 'количество, величина, число', 'качество', 'свойство', 'признак', 'количество,величина,число', 'количественный параметр', 'характеристика', 'свойство, характеристика', 'физиологический процесс', 'биологический процесс', 'процесс, смена состояний']","['группа людей', 'характеристика', 'класс', 'групповой', 'вариант', 'вариант, разновидность', 'группа лиц', 'качество', 'физическое свойство', 'признак', 'состав', 'совокупность людей', 'совокупность', 'свойство,характеристика', 'отличительное свойство', 'группа', 'социальные институты', 'свойство', 'субъект деятельности', 'количество,величина,число', 'количественный параметр', 'свойство, характеристика', 'абстрактная сущность', 'социальная общность', 'количество, величина, число', 'постоянная сущность', 'целое', 'разновидность', 'размер']",изменение,группа,,
276,класса,буржуазии,класс,буржуазия,Ncmsgn,Ncfsgn,N,N,ATR,"['группа людей', 'характеристика', 'класс', 'групповой', 'вариант', 'вариант, разновидность', 'группа лиц', 'качество', 'физическое свойство', 'признак', 'состав', 'совокупность людей', 'совокупность', 'свойство,характеристика', 'отличительное свойство', 'группа', 'социальные институты', 'свойство', 'субъект деятельности', 'количество,величина,число', 'количественный параметр', 'свойство, характеристика', 'абстрактная сущность', 'социальная общность', 'количество, величина, число', 'постоянная сущность', 'целое', 'разновидность', 'размер']","['буржуазия', 'группа', 'социальная общность', 'социальные институты', 'группа лиц', 'группа людей', 'социальный класс', 'групповой']",группа,организация,,
277,глава,государства,глава,государство,Ncmsny,Ncnsgn,N,N,MB,"['микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'глава', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['публично-правовое образование', 'государство', 'субъект права', 'субъект деятельности', 'постоянная сущность']",глава,организация,,
278,уровень,конкуренции,уровень,конкуренция,Ncmsan,Ncfsgn,N,N,PAR,"['свойство,характеристика', 'абстрактная сущность', 'отличительное свойство', 'количество, величина, число', 'качество', 'свойство', 'физическое свойство', 'признак', 'количество,величина,число', 'количественный параметр', 'постоянная сущность', 'характеристика', 'уровень', 'свойство, характеристика', 'размер']",['конкуренция'],качество,человек,,
279,роль,наблюдателя,роль,наблюдатель,Ncfsnn,Ncmsgy,Vt,A,ATR,"['статус', 'роль', 'значение, значимость', 'формальный статус', 'роль, положение, место']",['наблюдатель'],качество,человек,,
280,совершенствование,эффективности,совершенствование,эффективность,Ncnsan,Ncfsgn,A,Vn,OB,"['совершенствование', 'обуславливать, способствовать', 'улучшить', 'изменить, сделать иным', 'целенаправленное действие']","['действенность', 'эффективность']",создание,качество,,
281,эффективности,работы,эффективность,работа,Ncfsgn,Ncfsgn,Vn,N,PAR,"['действенность', 'эффективность']","['работа', 'деятельность', 'сделать', 'происходящая сущность', 'занятие', 'занятие, деятельность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'процесс, смена состояний', 'процесс', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']",качество,организация,,
282,работы,гэс,работа,гэс,Ncfsgn,Ncfsgn,N,N,SAG,"['работа', 'деятельность', 'сделать', 'происходящая сущность', 'занятие', 'занятие, деятельность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'процесс, смена состояний', 'процесс', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']",['гэс'],организация,устройство,,
283,отдела,развития,отдел,развитие,Ncmsgn,Ncnsgn,N,Vn,ATR,"['структурное подразделение', 'формирование, подразделение', 'субъект деятельности', 'постоянная сущность', 'отдел', 'отдел организации, учреждения']","['измениться, изменение', 'развитие', 'процесс, смена состояний', 'происходящая сущность']",отдел,создание,,
284,специалист,отдела,специалист,отдел,Ncmsny,Ncmsgn,Vt,N,MB,"['микрокосм', 'индивид', 'человек', 'специалист', 'личностный', 'человек по способностям', 'личность', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'работник', 'знаток', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'звание', 'воинское звание']","['структурное подразделение', 'формирование, подразделение', 'субъект деятельности', 'постоянная сущность', 'отдел', 'отдел организации, учреждения']",руководитель,отдел,,
285,обладатель,кубка,обладатель,кубок,Ncmsny,Ncmsgn,N,N,POS,"['обладатель', 'постоянная сущность', 'субъект деятельности']","['награда', 'стимул, толчок', 'кубок', 'мера, меорприятие', 'мера поощрения', 'мера, мероприятие']",предмет,глава,,
286,выборе,эмитента,выбор,эмитент,Ncmsln,Ncmsgy,Vt,N,OB,"['физически существующая сущность', 'состав', 'целое', 'физическая сущность', 'выбор', 'суть,существо,сущность,содержание', 'вещество', 'совокупность']","['заведение', 'организация, учреждение', 'организация', 'экономический агент', 'предприятие', 'контора', 'учрежденческий', 'субъект деятельности', 'постоянная сущность', 'учреждение', 'занятие, деятельность', 'институция', 'эмитент']",действие,исполнитель,,
287,продолжительность,периода,продолжительность,период,Ncfsan,Ncmsgn,Vt,N,PAR,"['абстрактная сущность', 'постоянная сущность', 'свойство, характеристика', 'продолжительность']","['свойство, характеристика', 'время, продолжительность', 'промежуток времени', 'период']",устройство,событие,,
288,чувство,неловкости,чувство,неловкость,Ncnsnn,Ncfsgn,N,N,ATR,"['чувство', 'абстрактная сущность', 'отношение между сущностями', 'постоянная сущность', 'пережить, испытать', 'пребывать в состоянии', 'ментальный объект']","['ментальный объект', 'неловкость', 'чувство, эмоция', 'абстрактная сущность']",способность,предмет,,
289,достижение,короля,достижение,король,Ncnsnn,Ncmsgy,N,N,SAG,"['выполнить, исполнить, осуществить', 'последствие, следствие', 'отношение между сущностями', 'выполнить', 'причинно-следственная связь', 'происходящая сущность', 'достижение', 'результат, итог', 'исполнить', 'осуществить']",['король'],создание,глава,,
290,джип,маршала,джип,маршал,Ncmsnn,Ncmsgy,Vt,Vt,POS,"['автомототранспортная техника', 'автомобиль', 'автомототранспорт', 'продукция автомобильной промышленности', 'транспортное средство', 'подвижной состав', 'средство транспорта', 'средство передвижения', 'автомототранспортный', 'автомототранспортное средство', 'средство автомототранспорта', 'транспортная машина', 'транспорт', 'автотехника', 'автомотосредство', 'джип', 'автотранспортная техника', 'автомобильная техника', 'автомототехника']","['воинский чин', 'высшее воинское звание', 'субъект деятельности', 'маршал', 'военный чин', 'постоянная сущность', 'живой организм', 'человек', 'звание', 'воинское звание', 'биологическая сущность']",группа,должность,,
291,удаления,полузащитника,удаление,полузащитник,Ncnsgn,Ncmsgn,N,N,OB,"['воздействовать', 'принудить, заставить', 'обуславливать, способствовать', 'переместить', 'уменьшить', 'изменить, сделать иным', 'увеличить', 'целенаправленное действие', 'происходящая сущность', 'удаление', 'влиять', 'влиять, воздействовать']","['сторона (группа лиц)', 'выше участник', 'спортсмен', 'участник', 'полузащитник', 'полевой игрок', 'игрок, участник игры', 'человек по сфере деятельности']",изменение,группа,,
292,правоту,решения,правота,решение,Ncfsan,Ncnsgn,Vt,N,PAR,"['абстрактная сущность', 'определить, выяснить', 'оценка', 'правота', 'узнать, получить сведения', 'свойство, характеристика', 'мнение', 'суждение']","['вывод, заключение', 'определить, выяснить', 'достичь, добиться', 'последствие, следствие', 'вывести, сделать вывод', 'ментальный процесс', 'результат, итог', 'получить в распоряжение', 'прийти (достигнуть после к-л. действий)', 'происходящая сущность', 'решение', 'узнать, получить сведения', 'процесс, смена состояний']",способность,документ,,
293,тренер,фк,тренер,фк,Ncmsny,Ncfsnn,N,N,OB',"['микрокосм', 'сотрудник', 'индивид', 'тренер', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'работник физической культуры и спорта', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа', 'работник физической культуры', 'работник физкультуры и спорта']","['заведение', 'организация, учреждение', 'организация', 'фк', 'контора', 'учреждение', 'общественная организация', 'институция', 'объединение (то, что объединено)', 'общество, объединение', 'учрежденческий']",руководитель,руководитель,,
294,регулирование,тарифов,регулирование,тариф,Ncnsnn,Ncmpgn,N,N,OB,"['воздействовать', 'регулирование', 'изменить состояние', 'принудить, заставить', 'обуславливать, способствовать', 'изменить, сделать иным', 'целенаправленное действие', 'происходящая сущность', 'наладить (привести в рабочее состояние)', 'вызвать, породить', 'влиять', 'влиять, воздействовать']","['свойство,характеристика', 'абстрактная сущность', 'качество', 'свойство', 'физическое свойство', 'признак', 'количество,величина,число', 'характеристика', 'тариф', 'хороший (вполне положительный по качествам)', 'размер']",устройство,качество,,
295,компетенции,властей,компетенция,власть,Ncfsdn,Ncfpgn,N,N,PAR,['компетенция'],"['возможность для осуществления', 'право (возможность)', 'фактор', 'обстоятельство', 'право', 'власть', 'обстоятельство, фактор']",учреждение,учреждение,,
296,моделирование,ситуации,моделирование,ситуация,Ncnsnn,Ncfsgn,Vt,N,OB,"['изготавливание', 'создавать', 'моделирование', 'сделать', 'происходящая сущность', 'выпуск', 'созданье', 'изготовить, выработать', 'вырабатывать', 'выпустить', 'вырабатывание', 'создание', 'созидание', 'созидательный', 'созидать', 'изготовить', 'целенаправленное действие', 'дать возможность, позволить', 'влиять', 'создать (сделать существующим)', 'выработать', 'делаться', 'созидаться', 'выработка', 'обуславливать', 'воздействовать', 'создать', 'производство', 'обуславливать, способствовать', 'насоздавать', 'позможность', 'выпускать', 'изготавливаться', 'изготавливать', 'изготовление', 'делать', 'способствовать', 'действие']",['ситуация'],характеристика,событие,,
297,ситуации,перехода,ситуация,переход,Ncfsgn,Ncmsgn,N,N,ATR,['ситуация'],['переход'],событие,изменение,,
298,методом,гипокинезии,метод,гипокинезия,Ncmsin,Ncfsgn,A,Vt,ATR,"['метод', 'способ, средство', 'роль, положение, место']","['лечение', 'восстановить прежнее состояние', 'изменить состояние', 'способ, средство', 'обслужить (удовлетворить нужды)', 'метод лечения', 'изменить, сделать иным', 'гипокинезия', 'метод, методика', 'медицинская помощь']",свойство,изменение,,
299,программе,исследований,программа,исследование,Ncfsdn,Ncnpgn,N,N,ATR,"['запись (то, что записано)', 'постоянная сущность', 'письменный перечень, список', 'программа']",['исследование'],организация,характеристика,,
300,реализации,устройств,реализация,устройство,Ncfsln,Ncnpgn,N,N,OB,"['действие, целенаправленное действие', 'передать во владение', 'целенаправленное действие', 'происходящая сущность', 'реализация', 'отдать, дать, предоставить', 'действие']","['абстрактная сущность', 'вещевой', 'физически существующий объект', 'роль, положение, место', 'устройство', 'инструмент', 'физический объект', 'объект', 'предметный', 'вещь', 'постоянная сущность', 'приспособление', 'строение, структура', 'вещица', 'вещичка', 'предмет', 'свойство, характеристика', 'вещественный']",создание,устройство,,
301,целью,использования,цель,использование,Ncfsin,Ncnsgn,A,Vt,ATR,"['предмет, объект деятельности', 'роль, положение, место', 'цель']","['отношение между сущностями', 'использовать, употреблять', 'использование']",предмет,создание,,
302,мать,ученого,мать,ученый,Ncfsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'сродственница', 'родственница', 'индивид', 'выше женщина, человек женского пола', 'человек', 'родной', 'личностный', 'мать', 'женщина', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'человек по роли', 'родная кровь', 'человек женского пола', 'индивидуум', 'люди', 'человечий', 'сродственник', 'член семьи', 'людской', 'человеческая личность', 'лицо', 'родитель', 'особа', 'близкий родственник']","['микрокосм', 'сотрудник', 'служащий (работник)', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'ученый', 'труженица)', 'личность', 'человеческий', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']",родственник,деятель,,
303,нужды,человека,нужда,человек,Ncfpnn,Ncmsgy,A,Vt,SPA,"['абстрактная сущность', 'пребывать в состоянии', 'отношение между сущностями', 'постоянная сущность', 'пережить, испытать', 'нужда']","['физически существующая сущность', 'тип, вид, класс', 'класс', 'человек', 'категория', 'вид', 'разряд', 'название', 'видовой', 'живой организм', 'наименование', 'род', 'тип классификации', 'класс в классификации', 'подразделение классификации', 'подразделение', 'субъект деятельности', 'физическая сущность', 'тип', 'биологическая сущность', 'класс классификации', 'название, наименование', 'постоянная сущность', 'звание', 'воинское звание']",учреждение,человек,,
304,удовлетворения,потребности,удовлетворение,потребность,Ncnsgn,Ncfsgn,Vt,N,OB,"['выполнить, исполнить, осуществить', 'удовлетворение', 'отношение между сущностями', 'происходящая сущность', 'пережить, испытать', 'пребывать в состоянии']","['абстрактная сущность', 'постоянная сущность', 'потребность']",изменение,способность,,
305,проводник,помощи,проводник,помощь,Ncmsny,Ncfsgn,N,N,OB',"['создатель', 'микрокосм', 'железнодорожник', 'транспортный работник', 'сотрудник', 'проводник', 'индивид', 'транспортник', 'рабочие руки', 'человек', 'труженик', 'специалист', 'личностный', 'транспортный персонал', 'транспортный служащий', 'личность', 'труженица)', 'человеческий', 'персона', 'живой организм', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'работник транспорта', 'сотрудница', 'особа', 'воинское звание']",['помощь'],предмет,действие,,
306,измены,мужа,измена,муж,Ncfsgn,Ncmsgy,Vt,N,SAG,"['плохой поступок', 'измена', 'поступок человека', 'действие человека']","['родной', 'супруги', 'мужчина, человек мужского пола', 'родственник', 'совершеннолетний, взрослый человек', 'статус', 'муж', 'близкая родня', 'взрослый мужчина', 'член семьи', 'сродственник', 'родня', 'человек по роли', 'близкий родственник', 'родная кровь', 'семейное положение']",родственник,родственник,,
307,почве,измены,почва,измена,Ncfsln,Ncfsgn,Vt,N,ATR,['почва'],"['плохой поступок', 'измена', 'поступок человека', 'действие человека']",предмет,родственник,,
308,использование,материалов,использование,материал,Ncnsan,Ncmpgn,Vt,N,OB,"['отношение между сущностями', 'использовать, употреблять', 'использование']","['физически существующая сущность', 'материал', 'физический объект', 'постоянная сущность', 'физическая сущность']",создание,документ,,
309,нарушение,процедуры,нарушение,процедура,Ncnsnn,Ncfsgn,Vt,N,OB,"['нарушение', 'действие, целенаправленное действие', 'происходящая сущность']","['порядок деятельности', 'способ, средство', 'метод лечения', 'процедура', 'метод, методика', 'роль, положение, место']",изменение,документ,,
310,процедуры,проведения,процедура,проведение,Ncfsgn,Ncnsgn,Vn,N,ATR,"['порядок деятельности', 'способ, средство', 'метод лечения', 'процедура', 'метод, методика', 'роль, положение, место']",['проведение'],документ,создание,,
311,проведения,егэ,проведение,егэ,Ncnsgn,Ncmsgn,N,N,OB,['проведение'],"['происходящая сущность', 'действие, целенаправленное действие', 'егэ']",создание,качество,,
312,способностях,психолога,способность,психолог,Ncfpln,Ncmsgy,Vt,N,ATR,"['свойство,характеристика', 'способность', 'абстрактная сущность', 'способность, умение', 'постоянная сущность', 'свойство, характеристика']","['микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'человек по способностям', 'труженица)', 'личность', 'человеческий', 'персона', 'живой организм', 'психолог', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'труженица', 'человечий', 'субъект деятельности', 'правонарушитель', 'работник', 'служащий', 'служащий гражданин)', 'научный работник', 'знаток', 'специалистка', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа', 'воинское звание']",способность,деятель,,
313,остатки,мира,остаток,мир,Ncmpan,Ncmsgn,N,N,WH,['остаток'],"['время, продолжительность', 'промежуток времени время', 'свойство, характеристика', 'мир']",часть,предмет,,
314,духе,оперы,дух,опера,Ncmsln,Ncfsgn,Vt,N,ATR,"['сверхъестественная сущность', 'постоянная сущность', 'дух', 'субъект деятельности']",['опера'],способность,исполнитель,,
315,продвижение,продукта,продвижение,продукт,Ncnsan,Ncmsgn,Vt,N,OB,"['принудить, заставить', 'обуславливать, способствовать', 'переместить', 'продвижение', 'целенаправленное действие', 'двигать (перемещать)']","['физически существующая сущность', 'последствие, следствие', 'отношение между сущностями', 'причинно-следственная связь', 'продукт', 'постоянная сущность', 'продукт труда', 'физическая сущность', 'вещество', 'продовольствие']",создание,предмет,,
